CHAMBRE DE METIERS ET DE L'ARTISANAT	CHAMBRE DE MÉTIERS ET DE L'ARTISANAT	99
GIE PACA CORSE AU NOM ET POUR LE COMPTE DE LA SNI SUD EST	GIA PACA CPRSE AU NOM ET POUR LE COMPTE DE LA SNI SUD EST	96
SIVOM SAINT-GAUDENS MONTREJEAU ASPET	SIVOM SAINT-GAUDENS MONTRÉJEAU ASPET	99
ENEDIS (ANCIENNEMENT ERDF ÉLECTRICITÉ RÉSEAU DISTRIBUTION FRANCE)	ENEDIS (ANCIENNEMENT ERDF ELECTRICITÉ RÉSEAU DISTRIBUTION FRANCE)	99
POLE SANTÉ SARTHE-ET-LOIRE	PÔLE SANTÉ SARTHE ET LOIRE	98
CHR METZ-THIONVILLE	CHR METZ THIONVILLE	100
CONSEIL GÉNÉRAL DES HAUTS-DE-SEINE	CONSEIL GÉNÉRAL DES HAUTS DE SEINE	100
CONSEIL GÉNÉRAL DE L'ARIÈGE	CONSEIL GENERAL DE L'ARIÈGE	96
MAISONS ET CITES/SOGINORPA	MAISONS ET CITÉS SOGINORPA	98
COMMUNAUTÉ DE COMMUNES CŒUR DE LOZÈRE	COMMUNAUTÉ DE COMMUNES COEUR DE LOZÈRE	96
TERRITOIRE DE LA COTE OUEST	TERRITOIRE DE LA CÔTE OUEST	98
COMMUNE DE PORTET-SUR-GARONNE	COMMUNE DE PORTET SUR GARONNE	100
COMMUNAUTÉ COMMUNES DU CANTON DE MONTLUEL	COMMUNAUTÉ DE COMMUNES DU CANTON DE MONTLUEL	96
ASSISTANCE PUBLIQUE - HÔPITAUX DE PARIS	ASSISTANCE PUBLIQUE — HÔPITAUX DE PARIS	100
COMMUNAUTÉ D'AGGLOMÉRATION DE SAINT-OMER	COMMUNAUTÉ D'AGGLOMÉRATION DE SAINT OMER	100
[LA POSTE] BRANCHE SERVICES-COURRIER-COLIS (BSCC) — FILIALE VIAPOST TRANSPORT MANAGEMENT	[LA POSTE] BRANCHE SERVICES-COURRIER-COLIS (BSCC) FILIALE VIAPOST TRANSPORT MANAGEMENT	99
DEA 976-SIST-UST	DEA976-SIST-UST	97
FONDATION CAISSES D'EPARGNE POUR LA SOLIDARITÉ (FCES)	FONDATION CAISSES D'ÉPARGNE POUR LA SOLIDARITÉ (FCES)	99
